Age,Motor skill label,Motor skill sequence,Infant ID,Early-mid gestation PreGC,Early-mid gestation FA,nPostGC,nPostnatal FA,Maternal protectiveness,Maternal rejectiveness,nSocial play (% of time),Growth rate,Sex of the offspring,Year of birth,,,
in days,,,,z-transformed,z-transformed,z-transformed,z-transformed,z-transformed,z-transformed,z-transformed,z-transformed,z-transformed,z-transformed,,,
23.5,MS2,2,tao,-0.905,1.400,-0.886,-0.655,-0.308,0.328,-0.838,-0.380,0.925,-0.903,,,
23.5,MS3,3,tao,-0.905,1.400,-0.739,-0.656,-0.308,0.328,-0.838,-0.380,0.925,-0.903,,,
47,MS3,3,luc,0.621,-1.284,1.198,0.519,0.692,-0.607,-0.689,-0.377,0.925,1.100,,,
72,MS3,3,kwo,2.266,-1.347,0.267,0.641,-0.378,-0.459,-0.838,-0.322,0.925,1.100,,,
30.5,MS4,4,tao,-0.905,1.400,-0.850,-0.692,-0.308,0.328,-0.571,-0.380,0.925,-0.903,,,
49,MS4,4,mok,-0.240,-0.314,1.410,0.462,-1.260,-1.317,-0.728,1.366,0.925,1.100,,,
60,MS4,4,luc,0.621,-1.284,1.058,0.666,0.692,-0.607,-0.745,-0.377,0.925,1.100,,,
72,MS4,4,kwo,2.266,-1.347,0.267,0.813,-0.378,-0.459,-0.838,-0.322,0.925,1.100,,,
23.5,MS5,5,tao,-0.905,1.400,-0.850,-0.714,-0.308,0.328,-0.503,-0.380,0.925,-0.903,,,
42,MS5,5,ozo,-0.384,0.309,-0.534,-0.924,-0.729,0.682,-0.528,-0.230,0.925,-0.903,,,
58,MS5,5,mok,-0.240,-0.314,1.410,0.458,-1.260,-1.317,-0.728,1.366,0.925,1.100,,,
85,MS5,5,kwo,2.266,-1.347,0.267,0.874,-0.378,-0.459,-0.838,-0.322,0.925,1.100,,,
98,MS5,5,luc,0.621,-1.284,1.058,0.730,0.692,-0.607,-0.748,-0.377,0.925,1.100,,,
40.5,MS6,6,tao,-0.905,1.400,-0.850,-0.709,-0.308,0.328,-0.582,-0.380,0.925,-0.903,,,
49,MS6,6,mok,-0.240,-0.314,1.410,0.458,-1.260,-1.317,-0.728,1.366,0.925,1.100,,,
60,MS6,6,luc,0.621,-1.284,1.058,0.717,0.692,-0.607,-0.748,-0.377,0.925,1.100,,,
72,MS6,6,kwo,2.266,-1.347,0.267,0.863,-0.378,-0.459,-0.838,-0.322,0.925,1.100,,,
42.5,MS7,7,tao,-0.905,1.400,-0.850,-0.714,-0.308,0.328,-0.503,-0.380,0.925,-0.903,,,
58,MS7,7,mok,-0.240,-0.314,1.410,0.458,-1.260,-1.317,-0.728,1.366,0.925,1.100,,,
60,MS7,7,luc,0.621,-1.284,1.058,0.730,0.692,-0.607,-0.748,-0.377,0.925,1.100,,,
68,MS7,7,kwo,2.266,-1.347,0.267,0.874,-0.378,-0.459,-0.838,-0.322,0.925,1.100,,,
68,MS7,7,ozo,-0.384,0.309,-0.534,-0.924,-0.729,0.682,-0.528,-0.230,0.925,-0.903,,,
38.5,MS8,8,tao,-0.905,1.400,-0.753,-0.759,-0.308,0.328,-0.510,-0.380,0.925,-0.903,,,
49,MS8,8,iri,1.084,0.174,1.961,-0.995,-0.739,0.682,0.014,0.250,0.925,-0.903,,,
61,MS8,8,mok,-0.240,-0.314,2.016,0.461,-1.260,-1.317,-0.676,1.366,0.925,1.100,,,
70,MS8,8,ozo,-0.384,0.309,-0.697,-0.955,-0.729,0.682,-0.589,-0.230,0.925,-0.903,,,
85,MS8,8,kwo,2.266,-1.347,0.267,0.956,-0.378,-0.459,-0.838,-0.322,0.925,1.100,,,
98,MS8,8,luc,0.621,-1.284,1.058,0.835,0.692,-0.607,-0.749,-0.377,0.925,1.100,,,
42.5,MS9,9,tao,-0.905,1.400,-0.850,-0.733,-0.308,0.328,-0.503,-0.380,0.925,-0.903,,,
68,MS9,9,kwo,2.266,-1.347,0.267,0.914,-0.378,-0.459,-0.838,-0.322,0.925,1.100,,,
68,MS9,9,ozo,-0.384,0.309,-0.697,-0.939,-0.729,0.682,-0.569,-0.230,0.925,-0.903,,,
73,MS9,9,mok,-0.240,-0.314,1.410,0.458,-1.260,-1.317,-0.744,1.366,0.925,1.100,,,
75,MS9,9,luc,0.621,-1.284,1.058,0.781,0.692,-0.607,-0.749,-0.377,0.925,1.100,,,
