Body size index,Age,Age,Early-mid gestation PreGC,PreGC throughout gestation,Early gestation PreGC,Mid gestation PreGC,Late gestation PreGC,Early-mid gestation FA,FA throughout gestation,nPostnatal FA,Maternal protectiveness,Maternal rejectiveness,nSocial play (% of time),Sex of the offspring,PostGC,Year of birth,Infant ID
1201.257586,542,1.424,-2.139,-2.257,-2.027,-1.477,-1.852,1.499,1.854,0.159,-1.854,-1.541,-0.023,0.967,-1.051,-0.367,mii
1287.019423,577,1.633,-2.139,-2.257,-2.027,-1.477,-1.852,1.499,1.854,0.366,-1.854,-1.541,0.115,0.967,-1.051,-0.367,mii
1316.855898,614,1.853,-2.139,-2.257,-2.027,-1.477,-1.852,1.499,1.854,0.513,-1.854,-1.541,-0.029,0.967,-1.051,-0.367,mii
1384.627154,635.75,1.983,-2.139,-2.257,-2.027,-1.477,-1.852,1.499,1.854,0.573,-1.854,-1.541,0.247,0.967,-1.051,-0.367,mii
299.8340451,44.5,-1.545,0.349,-0.031,1.250,-0.856,-0.458,-1.162,-1.794,1.075,-0.732,-1.194,-2.181,0.967,0.866,2.716,mok
422.5425632,63.2962963,-1.432,0.349,-0.031,1.250,-0.856,-0.458,-1.162,-1.794,1.063,-0.732,-1.194,-2.063,0.967,0.866,2.716,mok
501.0479049,99.625,-1.216,0.349,-0.031,1.250,-0.856,-0.458,-1.162,-1.794,1.369,-0.732,-1.194,-2.066,0.967,0.866,2.716,mok
703.7458654,124,-1.070,0.349,-0.031,1.250,-0.856,-0.458,-1.162,-1.794,1.594,-0.732,-1.194,-1.926,0.967,0.866,2.716,mok
709.5132479,157.625,-0.870,0.349,-0.031,1.250,-0.856,-0.458,-1.162,-1.794,1.898,-0.732,-1.194,-1.492,0.967,0.866,2.716,mok
860.1572439,193.0714286,-0.658,0.349,-0.031,1.250,-0.856,-0.458,-1.162,-1.794,2.199,-0.732,-1.194,-0.938,0.967,0.866,2.716,mok
1039.619302,220.5454545,-0.494,0.349,-0.031,1.250,-0.856,-0.458,-1.162,-1.794,2.290,-0.732,-1.194,-0.095,0.967,0.866,2.716,mok
975.234575,250.4666667,-0.316,0.349,-0.031,1.250,-0.856,-0.458,-1.162,-1.794,2.306,-0.732,-1.194,-0.059,0.967,0.866,2.716,mok
352.773643,71,-1.386,-0.296,-0.459,-0.721,0.141,-0.497,-0.381,-0.392,-0.957,0.188,0.226,-1.870,-1.029,-0.201,-0.367,ngo
460.0960904,106.4285714,-1.175,-0.296,-0.459,-0.721,0.141,-0.497,-0.381,-0.392,-1.004,0.188,0.226,-0.121,-1.029,-0.201,-0.367,ngo
558.4790229,131.6666667,-1.024,-0.296,-0.459,-0.721,0.141,-0.497,-0.381,-0.392,-0.941,0.188,0.226,0.640,-1.029,-0.201,-0.367,ngo
645.2496791,180.2,-0.735,-0.296,-0.459,-0.721,0.141,-0.497,-0.381,-0.392,-0.765,0.188,0.226,0.811,-1.029,-0.201,-0.367,ngo
524.1181338,196.3333333,-0.639,-0.296,-0.459,-0.721,0.141,-0.497,-0.381,-0.392,-0.666,0.188,0.226,0.653,-1.029,-0.201,-0.367,ngo
637.9579489,267.4,-0.215,-0.296,-0.459,-0.721,0.141,-0.497,-0.381,-0.392,-0.546,0.188,0.226,0.664,-1.029,-0.201,-0.367,ngo
698.8482058,294,-0.056,-0.296,-0.459,-0.721,0.141,-0.497,-0.381,-0.392,-0.616,0.188,0.226,0.635,-1.029,-0.201,-0.367,ngo
804.9833858,331,0.165,-0.296,-0.459,-0.721,0.141,-0.497,-0.381,-0.392,-0.494,0.188,0.226,1.109,-1.029,-0.201,-0.367,ngo
923.0946366,360,0.338,-0.296,-0.459,-0.721,0.141,-0.497,-0.381,-0.392,-0.375,0.188,0.226,1.140,-1.029,-0.201,-0.367,ngo
921.5530863,389.7142857,0.515,-0.296,-0.459,-0.721,0.141,-0.497,-0.381,-0.392,-0.261,0.188,0.226,1.812,-1.029,-0.201,-0.367,ngo
965.670293,426,0.732,-0.296,-0.459,-0.721,0.141,-0.497,-0.381,-0.392,-0.051,0.188,0.226,2.090,-1.029,-0.201,-0.367,ngo
1119.185552,441,0.821,-0.296,-0.459,-0.721,0.141,-0.497,-0.381,-0.392,0.036,0.188,0.226,2.076,-1.029,-0.201,-0.367,ngo
1182.805426,488,1.102,-0.296,-0.459,-0.721,0.141,-0.497,-0.381,-0.392,0.339,0.188,0.226,2.183,-1.029,-0.201,-0.367,ngo
1215.442092,536.2727273,1.390,-0.296,-0.459,-0.721,0.141,-0.497,-0.381,-0.392,0.596,0.188,0.226,2.243,-1.029,-0.201,-0.367,ngo
1212.423276,574.3333333,1.617,-0.296,-0.459,-0.721,0.141,-0.497,-0.381,-0.392,0.696,0.188,0.226,2.279,-1.029,-0.201,-0.367,ngo
439.503768,66,-1.416,0.316,-0.289,-0.126,0.553,-1.066,-0.661,-0.726,-1.051,2.316,-1.367,-1.912,-1.029,0.398,-0.367,oxy
419.0104455,92.4,-1.259,0.316,-0.289,-0.126,0.553,-1.066,-0.661,-0.726,-1.060,2.316,-1.367,-1.425,-1.029,0.398,-0.367,oxy
549.7369554,120.5,-1.091,0.316,-0.289,-0.126,0.553,-1.066,-0.661,-0.726,-0.972,2.316,-1.367,-0.662,-1.029,0.398,-0.367,oxy
606.7059761,172,-0.784,0.316,-0.289,-0.126,0.553,-1.066,-0.661,-0.726,-0.756,2.316,-1.367,0.670,-1.029,0.398,-0.367,oxy
555.7778451,184.8333333,-0.707,0.316,-0.289,-0.126,0.553,-1.066,-0.661,-0.726,-0.670,2.316,-1.367,0.537,-1.029,0.398,-0.367,oxy
849.7410488,248,-0.330,0.316,-0.289,-0.126,0.553,-1.066,-0.661,-0.726,-0.518,2.316,-1.367,-0.100,-1.029,0.398,-0.367,oxy
686.6414572,283,-0.121,0.316,-0.289,-0.126,0.553,-1.066,-0.661,-0.726,-0.616,2.316,-1.367,-0.204,-1.029,0.398,-0.367,oxy
857.9930346,319.4285714,0.096,0.316,-0.289,-0.126,0.553,-1.066,-0.661,-0.726,-0.495,2.316,-1.367,-0.163,-1.029,0.398,-0.367,oxy
870.1402796,347.875,0.266,0.316,-0.289,-0.126,0.553,-1.066,-0.661,-0.726,-0.372,2.316,-1.367,0.061,-1.029,0.398,-0.367,oxy
1043.860098,377.2222222,0.441,0.316,-0.289,-0.126,0.553,-1.066,-0.661,-0.726,-0.260,2.316,-1.367,0.096,-1.029,0.398,-0.367,oxy
1076.936647,407.1666667,0.619,0.316,-0.289,-0.126,0.553,-1.066,-0.661,-0.726,-0.088,2.316,-1.367,-0.094,-1.029,0.398,-0.367,oxy
1400.577724,441,0.821,0.316,-0.289,-0.126,0.553,-1.066,-0.661,-0.726,0.115,2.316,-1.367,0.058,-1.029,0.398,-0.367,oxy
1288.710649,464,0.958,0.316,-0.289,-0.126,0.553,-1.066,-0.661,-0.726,0.269,2.316,-1.367,0.191,-1.029,0.398,-0.367,oxy
1455.298384,499.4,1.170,0.316,-0.289,-0.126,0.553,-1.066,-0.661,-0.726,0.500,2.316,-1.367,0.642,-1.029,0.398,-0.367,oxy
1596.660461,536,1.388,0.316,-0.289,-0.126,0.553,-1.066,-0.661,-0.726,0.659,2.316,-1.367,0.968,-1.029,0.398,-0.367,oxy
1387.608661,558.3333333,1.521,0.316,-0.289,-0.126,0.553,-1.066,-0.661,-0.726,0.722,2.316,-1.367,1.184,-1.029,0.398,-0.367,oxy
361.7551321,68,-1.404,0.181,0.213,0.279,0.046,0.266,-0.702,-0.783,-1.082,-0.300,0.786,-1.864,0.967,0.065,-0.367,ozo
454.5658707,90,-1.273,0.181,0.213,0.279,0.046,0.266,-0.702,-0.783,-1.071,-0.300,0.786,-1.140,0.967,0.065,-0.367,ozo
657.0996009,168.4285714,-0.805,0.181,0.213,0.279,0.046,0.266,-0.702,-0.783,-0.771,-0.300,0.786,0.488,0.967,0.065,-0.367,ozo
549.5442143,223,-0.479,0.181,0.213,0.279,0.046,0.266,-0.702,-0.783,-0.498,-0.300,0.786,0.256,0.967,0.065,-0.367,ozo
769.4496591,253.3333333,-0.298,0.181,0.213,0.279,0.046,0.266,-0.702,-0.783,-0.540,-0.300,0.786,0.053,0.967,0.065,-0.367,ozo
783.3542332,281,-0.133,0.181,0.213,0.279,0.046,0.266,-0.702,-0.783,-0.617,-0.300,0.786,0.067,0.967,0.065,-0.367,ozo
938.3718335,317,0.081,0.181,0.213,0.279,0.046,0.266,-0.702,-0.783,-0.495,-0.300,0.786,0.105,0.967,0.065,-0.367,ozo
1116.309739,350,0.278,0.181,0.213,0.279,0.046,0.266,-0.702,-0.783,-0.356,-0.300,0.786,0.163,0.967,0.065,-0.367,ozo
1058.531512,377,0.439,0.181,0.213,0.279,0.046,0.266,-0.702,-0.783,-0.250,-0.300,0.786,0.123,0.967,0.065,-0.367,ozo
1234.291306,409.3,0.632,0.181,0.213,0.279,0.046,0.266,-0.702,-0.783,-0.059,-0.300,0.786,0.127,0.967,0.065,-0.367,ozo
